"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2019,12,"EV","ExpressJet Airlines LLC","BDL","Hartford, CT: Bradley International",14.00,4.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,114.00,61.00,0.00,0.00,0.00,53.00,
2019,12,"EV","ExpressJet Airlines LLC","BGR","Bangor, ME: Bangor International",34.00,16.00,4.12,0.00,3.90,0.00,7.98,2.00,0.00,1450.00,682.00,0.00,231.00,0.00,537.00,
2019,12,"EV","ExpressJet Airlines LLC","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",65.00,13.00,4.52,0.04,5.96,0.00,2.48,0.00,0.00,572.00,233.00,2.00,206.00,0.00,131.00,
2019,12,"EV","ExpressJet Airlines LLC","BNA","Nashville, TN: Nashville International",120.00,41.00,11.01,0.74,13.99,0.00,15.25,6.00,0.00,2638.00,670.00,164.00,685.00,0.00,1119.00,
2019,12,"EV","ExpressJet Airlines LLC","BRO","Brownsville, TX: Brownsville South Padre Island International",96.00,17.00,8.01,0.00,4.66,0.00,4.33,1.00,0.00,1037.00,578.00,0.00,139.00,0.00,320.00,
2019,12,"EV","ExpressJet Airlines LLC","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",123.00,16.00,5.41,1.46,5.55,0.00,3.58,0.00,1.00,1393.00,416.00,387.00,210.00,0.00,380.00,
2019,12,"EV","ExpressJet Airlines LLC","BTV","Burlington, VT: Burlington International",73.00,32.00,8.01,1.00,7.18,0.00,15.81,1.00,0.00,4119.00,1162.00,69.00,1350.00,0.00,1538.00,
2019,12,"EV","ExpressJet Airlines LLC","BUF","Buffalo, NY: Buffalo Niagara International",87.00,33.00,9.38,2.00,7.17,0.00,14.45,12.00,0.00,2377.00,826.00,60.00,275.00,0.00,1216.00,
2019,12,"EV","ExpressJet Airlines LLC","CAK","Akron, OH: Akron-Canton Regional",30.00,6.00,0.92,0.00,3.78,0.00,1.30,1.00,0.00,255.00,44.00,0.00,176.00,0.00,35.00,
2019,12,"EV","ExpressJet Airlines LLC","CHS","Charleston, SC: Charleston AFB/International",26.00,6.00,2.45,0.00,2.72,0.00,0.83,0.00,0.00,1072.00,845.00,0.00,150.00,0.00,77.00,
2019,12,"EV","ExpressJet Airlines LLC","CID","Cedar Rapids/Iowa City, IA: The Eastern Iowa",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2019,12,"EV","ExpressJet Airlines LLC","CLE","Cleveland, OH: Cleveland-Hopkins International",325.00,97.00,26.94,2.49,23.30,0.00,44.27,15.00,1.00,9834.00,3956.00,985.00,1395.00,0.00,3498.00,
2019,12,"EV","ExpressJet Airlines LLC","CLL","College Station/Bryan, TX: Easterwood Field",62.00,14.00,6.49,1.00,2.42,0.00,4.09,1.00,0.00,1290.00,723.00,104.00,74.00,0.00,389.00,
2019,12,"EV","ExpressJet Airlines LLC","CLT","Charlotte, NC: Charlotte Douglas International",93.00,31.00,9.16,0.00,13.12,0.00,8.72,1.00,0.00,1708.00,786.00,0.00,324.00,0.00,598.00,
2019,12,"EV","ExpressJet Airlines LLC","CMH","Columbus, OH: John Glenn Columbus International",81.00,17.00,6.02,0.00,6.20,0.00,4.78,1.00,1.00,1064.00,399.00,0.00,306.00,0.00,359.00,
